"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Ceutorhynchus obstrictus","500100","1.0","","","0.0","","","0.0","-35.025","173.275","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500202","1.0","0.0","0.0","24.0","0.0","0.0","24.0","-35.075","173.425","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500203","1.0","","","0.0","","","0.0","-35.025","173.525","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500204","1.0","0.0","0.0","16.0","0.0","0.0","16.0","-35.225","173.225","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500205","1.0","","","0.0","","","0.0","-35.175","173.175","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500206","1.0","0.0","0.0","18.0","0.0","0.0","18.0","-34.575","172.875","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500207","1.0","0.0","0.0","9.0","0.0","0.0","9.0","-34.775","173.075","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500208","1.0","0.0","0.0","11.0","0.0","0.0","11.0","-34.975","173.175","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500301","1.0","","","0.0","","","0.0","-35.125","173.275","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500302","1.0","","","0.0","","","0.0","-35.125","173.275","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500401","1.0","","","0.0","","","0.0","-35.125","173.775","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500402","1.0","0.0","0.0","26.0","0.0","0.0","26.0","-35.075","173.775","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500500","1.0","","","0.0","","","0.0","-35.375","173.525","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500600","1.0","","","0.0","","","0.0","-35.425","173.525","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500700","1.0","","","0.0","","","0.0","-35.525","173.425","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ceutorhynchus obstrictus","500801","1.0","0.0","0.0","31.0","0.0","0.0","31.0","-35.325","173.475","0.0","0.0","0.0","0.0","0.0","0.0","999.0","0.0","0.0","0.0","0.0","0.0","0.0"
